Date,Start Time,End Time,Field (Alias),Field,Venue,Event Type,Identifier,Organization,Secondary Organization,Schedule,Category,Home Team,Away Team,Practice Teams,Practice Type,Timeslot Type,Timeslot Sub Type,Timeslot Shared Leagues,Timeslot Category Restrictions,Comments,Notes
2025-06-16,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-17,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-17,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-18,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-18,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-19,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-19,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-20,18:15,20:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-20,20:15,22:15,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL AMATEUR DE HULL,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,"13U A Mixed, 15U B Male, 15U B Female, 13U A Male, 13U A Female, 13U B Mixed, 13U B Female, 13U B Male, 15U A Mixed, 15U A Female, 15U A Male",,
2025-06-21,09:00,11:00,,Parc Moussette,Parc Moussette,Slot,,ASSOCIATION BASEBALL FÉMININ OUTAOUAIS,,,,,,,,,,,,,
