Date,Heure de début,Heure de fin,Terrain (alias),Terrain,Lieu,Type d'événement,Identifiant,Organisation,Organisation secondaire,Horaire,Catégorie,Équipe locale,Équipe visiteuse,Équipes de pratique,Type de pratique,Type de plage horaire,Sous-type de plage horaire,Ligues partagées (plage horaire),Restrictions de catégorie (plage horaire),Commentaires,Notes
2025-08-10,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Dimanches,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-11,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-11,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-12,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-12,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-13,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-13,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-14,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-14,20:15,22:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
2025-08-15,18:15,20:15,,Terrain J. A. Perkins,Parc J. A. Perkins,Plage horaire,Semaine,ASSOCIATION DE BASEBALL AMATEUR DE VAL-DES-MONTS,,,,,,,,,,LIGUE DE BASEBALL DE L'OUTAOUAIS,,,
